country,year,mortality_female,mortality_male,mortality_total,country_code
Argentina,2017,2.9,13.6,7.8,ARG
Argentina,2018,2.7,14.1,7.9,ARG
Argentina,2019,2.6,13.8,7.8,ARG
Argentina,2020,2.2,11.8,6.6,ARG
Argentina,2021,2.5,11.3,6.5,ARG
Australia,2017,6.8,20.6,13.6,AUS
Australia,2018,6.2,20.2,13.1,AUS
Australia,2019,6.5,20.7,13.5,AUS
Australia,2020,6.0,19.5,12.6,AUS
Australia,2021,6.2,19.1,12.5,AUS
Australia,2022,6.1,19.5,12.7,AUS
Austria,2017,5.2,21.8,12.8,AUT
Austria,2018,5.1,21.4,12.5,AUT
Austria,2019,4.8,19.2,11.4,AUT
Austria,2020,4.6,18.2,10.8,AUT
Austria,2021,4.3,19.0,11.0,AUT
Belgium,2017,8.2,22.0,14.8,BEL
Belgium,2018,8.4,22.6,15.3,BEL
Belgium,2019,7.6,22.2,14.6,BEL
Belgium,2020,7.8,22.0,14.6,BEL
Brazil,2017,2.6,10.9,6.5,BRA
Brazil,2018,2.6,10.9,6.5,BRA
Brazil,2019,2.7,11.2,6.7,BRA
Brazil,2020,2.8,11.5,6.9,BRA
Brazil,2021,3.2,12.5,7.6,BRA
Bulgaria,2017,3.8,15.3,8.9,BGR
Bulgaria,2018,3.6,13.9,8.3,BGR
Bulgaria,2019,2.9,12.8,7.4,BGR
Bulgaria,2020,2.9,13.3,7.6,BGR
Bulgaria,2021,3.0,12.5,7.3,BGR
Canada,2017,5.6,16.9,11.2,CAN
Canada,2018,6.0,18.5,12.1,CAN
Canada,2019,5.7,18.4,11.9,CAN
Canada,2020,5.4,16.2,10.7,CAN
Canada,2021,4.9,14.6,9.7,CAN
Canada,2022,4.6,13.7,9.0,CAN
Chile,2017,3.3,18.5,10.6,CHL
Chile,2018,3.3,17.3,10.0,CHL
Chile,2019,3.7,17.2,10.2,CHL
Chile,2020,2.8,14.6,8.4,CHL
Chile,2021,3.0,13.7,8.1,CHL
Colombia,2017,1.9,10.4,5.9,COL
Colombia,2018,1.9,11.0,6.2,COL
Colombia,2019,2.2,10.5,6.1,COL
Colombia,2020,1.9,9.8,5.7,COL
Colombia,2021,2.1,10.7,6.2,COL
Costa Rica,2017,2.2,9.4,5.8,CRI
Costa Rica,2018,3.0,13.3,8.1,CRI
Costa Rica,2019,2.0,14.0,7.9,CRI
Costa Rica,2020,2.8,11.5,7.1,CRI
Croatia,2017,6.4,23.4,14.0,HRV
Croatia,2018,6.6,24.9,14.9,HRV
Croatia,2019,4.9,22.9,13.0,HRV
Croatia,2020,5.2,20.9,12.4,HRV
Croatia,2021,5.3,23.2,13.4,HRV
Czechia,2017,5.1,21.3,12.8,CZE
Czechia,2018,4.4,21.1,12.3,CZE
Czechia,2019,4.2,17.9,10.7,CZE
Czechia,2020,3.7,19.2,10.9,CZE
Czechia,2021,4.6,18.4,11.1,CZE
Denmark,2017,5.4,14.6,9.8,DNK
Denmark,2018,5.1,14.6,9.7,DNK
Denmark,2019,4.9,15.4,9.9,DNK
Denmark,2020,5.4,14.1,9.6,DNK
Denmark,2021,4.6,12.8,8.5,DNK
Estonia,2017,6.9,28.4,16.5,EST
Estonia,2018,5.5,25.3,14.0,EST
Estonia,2019,5.3,24.5,14.1,EST
Estonia,2020,6.1,26.7,15.1,EST
Estonia,2021,5.1,23.9,13.6,EST
Estonia,2022,6.2,23.7,13.8,EST
Finland,2017,7.5,22.3,14.8,FIN
Finland,2018,6.9,22.4,14.4,FIN
Finland,2019,6.4,20.6,13.4,FIN
Finland,2020,6.9,19.2,12.9,FIN
Finland,2021,8.0,18.9,13.2,FIN
France,2017,5.7,19.7,12.2,FRA
France,2018,6.1,20.9,12.9,FRA
France,2019,5.7,20.1,12.4,FRA
